CD3D,up,EHD4,up,HMGCR,up,MS4A6A,up,PREX1,up,STK40,up,ZDHHC2,up,DNAJC5G,down,HINFP,down,NCKAP5,down,RNF6,down,VWF,down
CD3E,up,EID2B,up,HMGN1,up,MS4A7,up,PRF1,up,STMN3,up,ZDHHC8,up,DNAJC6,down,HKDC1,down,NCOA2,down,RNY5,down,WARS2,down
CD3G,up,EIF1,up,HMOX1,up,MSH3,up,PRICKLE4,up,STOM,up,ZEB2,up,DNASE1L3,down,HLA-DOA,down,NDOR1,down,ROCK1,down,WASF1,down
CD4,up,EIF2A,up,HNRNPA0,up,MSH6,up,PRKAA1,up,STOML2,up,ZFAND5,up,DNHD1,down,HLA-DQB1,down,NDST3,down,ROM1,down,WBP11P1,down
CD52,up,EIF3A,up,HNRNPA2B1,up,MT1F,up,PRKAR1A,up,STRAP,up,ZFHX3,up,DNMT3L,down,HLA-DRB1,down,NDUFA4L2,down,RP9P,down,WDHD1,down
CD55,up,EIF3G,up,HNRNPAB,up,MT1X,up,PRKCA,up,STX11,up,ZFP36,up,DOC2A,down,HLA-DRB5,down,NDUFAF1,down,RPL10L,down,WDR17,down
CD58,up,EIF4A2,up,HNRNPH1,up,MT2A,up,PRKCH,up,STX16,up,ZFP36L1,up,DOC2B,down,HMCN1,down,NDUFB1,down,RPL13,down,WDR5B,down
CD69,up,EIF4A3,up,HNRNPM,up,MTA1,up,PRNP,up,STX8,up,ZFP36L2,up,DOCK1,down,HMGCS1,down,NDUFB4,down,RPL13AP3,down,WIZ,down
CD7,up,EIF4B,up,HNRNPR,up,MTDH,up,PROK2,up,SUCLG2,up,ZFP91,up,DOCK5,down,HMGCS2,down,NDUFB6,down,RPL22L1,down,WWOX,down
CD74,up,EIF4E3,up,HOPX,up,MTF2,up,PRPF40A,up,SULT1A1,up,ZFPM1,up,DPAGT1,down,HMHB1,down,NDUFS1,down,RPL23AP7,down,WWTR1,down
CD79A,up,EIF4EBP2,up,HPS6,up,MTMR4,up,PRPF8,up,SUMF2,up,ZFR,up,DPH1,down,HNF4G,down,NDUFS2,down,RPL26L1,down,XIRP2,down
CD8A,up,EIF4G2,up,HSBP1,up,MTMR6,up,PRPSAP2,up,SUMO3,up,ZMAT3,up,DPY19L2P4,down,HNRNPA1,down,NDUFS6,down,RPL29P2,down,XPO5,down
CDAN1,up,EIF4H,up,HSD17B11,up,MTPN,up,PRR14,up,SUPT16H,up,ZMYND11,up,DPY19L3,down,HNRNPUL1,down,NECAB2,down,RPL31P11,down,XRCC4,down
CDC16,up,EIF5,up,HSD17B12,up,MUL1,up,PRRC1,up,SUZ12,up,ZNF14,up,DPYSL4,down,HPN,down,NECAB3,down,RPL34,down,YAP1,down
CDC26,up,EIF5A,up,HSD17B4,up,MXD4,up,PRSS23,up,SYK,up,ZNF148,up,DQX1,down,HPS4,down,NEDD4,down,RPL37,down,YARS2,down
CDC40,up,ELF1,up,HSD17B7,up,MYADM,up,PSAP,up,SYNCRIP,up,ZNF207,up,DSP,down,HS6ST1,down,NELL1,down,RPL3L,down,YIPF2,down
CDC42,up,ELOVL5,up,HSP90AA1,up,MYBL1,up,PSIP1,up,SYNJ2BP,up,ZNF217,up,DUSP15,down,HSD11B2,down,NFIB,down,RPLP0P2,down,YPEL4,down
CDC42SE1,up,EML4,up,HSP90B1,up,MYCBP2,up,PSMA6,up,SYT11,up,ZNF22,up,DUSP26,down,HSD17B1,down,NFKBIL1,down,RPP14,down,ZBBX,down
CDC42SE2,up,EMP3,up,HSPA8,up,MYD88,up,PSMB10,up,TACC1,up,ZNF223,up,DUSP4,down,HSD17B14,down,NKD1,down,RPRML,down,ZBTB32,down
CDK2AP1,up,ENO1,up,HSPA9,up,MYL12A,up,PSMD12,up,TAF10,up,ZNF277,up,DYDC1,down,HSD17B3,down,NKPD1,down,RPS19BP1,down,ZC3H6,down
CDK6,up,ENSA,up,HSPB1,up,MYL6,up,PSMG2,up,TAF15,up,ZNF281,up,DYNC1I1,down,HSP90B3P,down,NLRP14,down,RPS6KL1,down,ZEB1,down
CDKN1B,up,EOMES,up,HSPD1,up,MYLIP,up,PSPC1,up,TAF7,up,ZNF385A,up,DYNC2LI1,down,HSPA4L,down,NLRP6,down,RPS7,down,ZFAND3,down
CDKN2AIPNL,up,EP300,up,HSPE1,up,MYO1F,up,PTBP1,up,TAGLN2,up,ZNF394,up,DYNLRB2,down,HSPG2,down,NMBR,down,RRAD,down,ZFP30,down
CDKN2D,up,EPN1,up,HSPH1,up,MYO1G,up,PTEN,up,TALDO1,up,ZNF395,up,E2F6,down,IDO2,down,NME2P1,down,RRP7A,down,ZFPM2,down
CDR2,up,ERCC5,up,HTATIP2,up,MYO9B,up,PTGER2,up,TBC1D10C,up,ZNF428,up,E2F8,down,IFI27,down,NMNAT2,down,RUNX2,down,ZMYND10,down
CDV3,up,ERGIC3,up,IAH1,up,MYPOP,up,PTGER4,up,TBC1D15,up,ZNF430,up,EBF2,down,IFIT2,down,NOG,down,RXFP4,down,ZNF138,down
CEBPB,up,ERP29,up,IARS2,up,N4BP2,up,PTGES3,up,TBK1,up,ZNF483,up,EBF4,down,IFIT3,down,NOL4,down,S100A1,down,ZNF141,down
CEBPD,up,ESD,up,ICAM2,up,NACA,up,PTGS2,up,TBPL1,up,ZNF486,up,ECE1,down,IGFL4,down,NOMO3,down,S100A3,down,ZNF184,down
CEBPZ,up,ETFA,up,ICAM3,up,NAMPT,up,PTMA,up,TC2N,up,ZNF518B,up,ECE2,down,IGSF21,down,NPC1,down,S100A5,down,ZNF205,down
CENPB,up,ETS1,up,ID2,up,NAP1L1,up,PTP4A2,up,TCP1,up,ZNF549,up,EDNRB,down,IGSF9B,down,NPHS1,down,S100A7L2,down,ZNF215,down
CEP350,up,ETV6,up,IDH3B,up,NAP1L4,up,PTPN12,up,TDG,up,ZNF577,up,EED,down,IKBIP,down,NPHS2,down,S1PR3,down,ZNF219,down
CFD,up,EVI5,up,IFI44,up,NBEAL2,up,PTPN4,up,TDP1,up,ZNF581,up,EEF1A2,down,IKZF3,down,NPS,down,SACS,down,ZNF260,down
CFL1,up,EVL,up,IFI44L,up,NBPF10,up,PTPRCAP,up,TDRD1,up,ZNF598,up,EEF1D,down,IKZF4,down,NPY6R,down,SAMHD1,down,ZNF311,down
CFLAR,up,EWSR1,up,IFITM1,up,NCK1,up,PTPRE,up,TECPR1,up,ZNF622,up,EFHC1,down,IL12B,down,NRG3,down,SAP30BP,down,ZNF391,down
CGGBP1,up,EXOSC9,up,IFITM2,up,NCOA4,up,PTTG1IP,up,TECR,up,ZNF652,up,EFR3B,down,IL17RC,down,NRXN3,down,SASS6,down,ZNF426,down
CGRRF1,up,EZR,up,IFITM3,up,NCOR2,up,PURB,up,TERF2IP,up,ZNF682,up,EGFLAM,down,IL17REL,down,NSMCE2,down,SCAMP5,down,ZNF43,down
CHCHD2,up,F2R,up,IFNGR2,up,NDRG3,up,PWP1,up,TFDP1,up,ZNF683,up,EGLN3,down,IL24,down,NT5C1A,down,SCARB1,down,ZNF462,down
CHD1,up,FAF2,up,IFT20,up,NDUFA3,up,PXN,up,TFRC,up,ZNF69,up,EGR4,down,IL6,down,NT5C1B,down,SLPI,down,ZNF485,down
CHD4,up,FAM104A,up,IGF2BP2,up,NDUFA4,up,PYCARD,up,TGFBI,up,ZNF721,up,EID2,down,IL6R,down,NUBP2,down,SMAP1,down,ZNF510,down
CHD8,up,FAM107B,up,IGF2R,up,NDUFB2,up,PYCR2,up,TGFBR3,up,ZNF738,up,EIF1AD,down,IL9,down,NUDT4,down,SMN2,down,ZNF521,down
CHD9,up,FAM111A,up,IGLL1,up,NDUFB9,up,PYGL,up,TGOLN2,up,ZNF786,up,EIF2S2,down,ILDR1,down,NUF2,down,SMR3B,down,ZYG11A,down
CHFR,up,FAM120A,up,IKZF1,up,NDUFS4,up,QRFPR,up,THAP11,up,ZNF787,up,EIF3C,down,ILF3,down,NUP50,down,SNCG,down,,
CHIC2,up,FAM133B,up,IL10,up,NDUFV2,up,RAB11A,up,THBS1,up,ZNF800,up,EIF3IP1,down,IMMP1L,down,NVL,down,SNED1,down,,
CHMP4A,up,FAM13B,up,IL10RA,up,NECAP1,up,RAB2B,up,THOC7,up,ZNF91,up,EIF4E,down,INMT,down,NXPH3,down,SNHG4,down,,
CHRNA5,up,FAM177A1,up,IL10RB,up,NECAP2,up,RAB40C,up,THUMPD1,up,ZRANB2,up,EIF4EBP3,down,INPP4A,down,OASL,down,SNPH,down,,
CHSY1,up,FAM20B,up,IL17RA,up,NEDD8,up,RAB7A,up,TIMM23,up,C1QB,down,EIF4G1,down,INSM2,down,OC90,down,SNRNP25,down,,
CIB1,up,FAM53B,up,IL17RD,up,NEXN,up,RABGAP1L,up,TIPARP,up,C5,down,ELAVL2,down,INSR,down,OCA2,down,SNRNP48,down,,
CIRBP,up,FAM76B,up,IL18,up,NFE2L2,up,RABGGTB,up,TKT,up,CA13,down,ELF5,down,IQCG,down,ORM1,down,SNRPD1,down,,
CITED2,up,FAM89B,up,IL18RAP,up,NFKBIA,up,RAC2,up,TLE4,up,CA8,down,ELOVL2,down,IQCH,down,OSBPL6,down,SNRPE,down,,
CKAP4,up,FAM8A1,up,IL1B,up,NFKBIZ,up,RAD23B,up,TLN1,up,CALHM2,down,EMID1,down,IQUB,down,OSGIN1,down,SNTN,down,,
CKLF,up,FAM98A,up,IL27RA,up,NGDN,up,RAF1,up,TM2D1,up,CALHM3,down,EMILIN3,down,IRAK2,down,OXGR1,down,SNX16,down,,
CLC,up,FAU,up,IL2RB,up,NINJ1,up,RALGDS,up,TM2D3,up,CALML6,down,EML1,down,IRF5,down,P2RY2,down,SOCS7,down,,
CLCN7,up,FBL,up,IL32,up,NIPA2,up,RALY,up,TM7SF3,up,CAMKK2,down,EML5,down,IRGC,down,P4HA2,down,SORD,down,,
CLDND1,up,FBXL5,up,IL7R,up,NIPSNAP1,up,RAP2A,up,TMBIM6,up,CAND2,down,EMP2,down,IRX6,down,PA2G4P4,down,SPC25,down,,
CLEC12A,up,FBXO21,up,ILK,up,NKG7,up,RAPGEF2,up,TMC6,up,CANT1,down,ENG,down,ITGA8,down,PABPC4L,down,SPEM1,down,,
CLEC2B,up,FBXO33,up,INO80E,up,NKTR,up,RARA,up,TMCO1,up,CAP2,down,ENTPD6,down,ITGA9,down,PADI2,down,SPHKAP,down,,
CLEC2D,up,FBXO34,up,INSIG1,up,NLRP3,up,RASSF2,up,TMED5,up,CAPN8,down,EPS8L1,down,ITGB1,down,PADI6,down,SPINT1,down,,
CLEC7A,up,FCAR,up,INTS3,up,NLRP8,up,RASSF5,up,TMED7,up,CAPSL,down,EPYC,down,ITGB4,down,PAEP,down,SPOCK1,down,,
CLIC1,up,FCER1A,up,IQGAP1,up,NME1-NME2,up,RB1CC1,up,TMED9,up,CARD18,down,ERCC2,down,ITIH1,down,PAMR1,down,SPP2,down,,
CLINT1,up,FCER1G,up,IQGAP2,up,NME3,up,RBL2,up,TMEM106A,up,CARD6,down,ERG,down,ITIH3,down,PARG,down,SPSB2,down,,
